Min_hr,Max_hr,Mean_hr,Men_acc_sqrt,Min_acc_x,Max_acc_x,Mean_acc_x,Min_acc_y,Max_acc_y,Mean_acc_y,Min_acc_z,Max_acc_z,Mean_acc_z,Etiquetas binarias,Etiquetas multiclase,ID
76.0,79.0,76.8,1.0,-0.54,-0.52,-0.53,-0.04,-0.03,-0.04,0.85,0.86,0.85,1.0,1.0,16.0
56.0,58.0,57.33,1.0,-0.53,-0.52,-0.53,-0.07,-0.06,-0.06,0.85,0.86,0.85,1.0,2.0,16.0
52.0,57.0,54.33,1.0,-0.53,-0.52,-0.52,-0.08,-0.08,-0.08,0.85,0.86,0.85,1.0,2.0,16.0
54.0,55.0,54.2,1.0,-0.51,-0.5,-0.51,-0.19,-0.18,-0.19,0.84,0.85,0.85,1.0,2.0,16.0
51.0,56.0,54.0,1.0,-0.51,-0.5,-0.51,-0.21,-0.2,-0.21,0.84,0.84,0.84,1.0,2.0,16.0
54.0,58.0,56.5,1.0,-0.51,-0.5,-0.51,-0.21,-0.21,-0.21,0.84,0.84,0.84,1.0,2.0,16.0
60.0,64.0,62.33,1.0,-0.38,-0.37,-0.38,-0.13,-0.13,-0.13,0.92,0.92,0.92,0.0,0.0,16.0
83.0,98.0,89.43,1.0,-0.33,-0.32,-0.32,-0.43,-0.41,-0.43,0.82,0.86,0.85,0.0,0.0,16.0
68.0,72.0,69.5,1.0,-0.36,-0.35,-0.35,-0.51,-0.5,-0.51,0.79,0.79,0.79,0.0,0.0,16.0
59.0,65.0,61.33,1.0,-0.38,-0.37,-0.37,-0.49,-0.48,-0.49,0.79,0.8,0.79,1.0,1.0,16.0
50.0,57.0,55.17,1.0,-0.38,-0.38,-0.38,-0.49,-0.48,-0.48,0.79,0.8,0.79,1.0,2.0,16.0
53.0,54.0,53.67,1.0,-0.38,-0.38,-0.38,-0.49,-0.48,-0.48,0.79,0.79,0.79,0.0,5.0,16.0
59.0,66.0,62.5,1.0,-0.39,-0.38,-0.38,-0.49,-0.48,-0.48,0.78,0.79,0.79,0.0,5.0,16.0
76.0,77.0,76.5,1.01,-0.63,-0.36,-0.5,-0.49,1.06,0.45,-0.89,0.21,-0.63,0.0,0.0,28.0
68.0,70.0,68.8,1.0,-0.73,0.16,-0.45,-0.8,0.53,0.13,-1.12,-0.53,-0.83,0.0,0.0,28.0
66.0,68.0,66.83,1.0,-0.56,-0.55,-0.55,0.28,0.3,0.29,-0.8,-0.78,-0.79,1.0,2.0,28.0
59.0,64.0,62.0,1.0,-0.55,-0.55,-0.55,0.31,0.32,0.32,-0.79,-0.77,-0.78,1.0,2.0,28.0
62.0,65.0,64.33,1.0,-0.56,-0.55,-0.55,0.31,0.32,0.31,-0.78,-0.77,-0.78,1.0,2.0,28.0
61.0,68.0,64.83,1.0,-0.56,-0.55,-0.55,0.31,0.32,0.31,-0.78,-0.77,-0.78,1.0,2.0,28.0
64.0,66.0,65.17,1.0,-0.56,-0.55,-0.55,0.31,0.33,0.32,-0.78,-0.77,-0.77,1.0,3.0,28.0
66.0,70.0,68.17,1.0,-0.55,-0.54,-0.55,0.36,0.38,0.37,-0.76,-0.75,-0.76,1.0,2.0,28.0
66.0,71.0,68.8,1.0,-0.55,-0.54,-0.55,0.37,0.38,0.38,-0.76,-0.75,-0.75,1.0,3.0,28.0
71.0,72.0,71.5,1.0,-0.55,-0.54,-0.55,0.37,0.39,0.38,-0.76,-0.75,-0.75,1.0,3.0,28.0
70.0,71.0,70.83,1.0,-0.55,-0.54,-0.55,0.37,0.39,0.38,-0.76,-0.75,-0.75,1.0,3.0,28.0
70.0,74.0,72.5,1.0,-0.57,-0.56,-0.56,0.16,0.18,0.17,-0.82,-0.81,-0.81,1.0,2.0,28.0
68.0,71.0,69.5,1.0,-0.57,-0.56,-0.56,0.17,0.19,0.18,-0.82,-0.8,-0.81,1.0,2.0,28.0
74.0,75.0,74.2,1.0,-0.75,0.25,-0.56,-0.45,0.83,0.11,-1.13,-0.39,-0.78,1.0,3.0,28.0
73.0,77.0,75.83,1.0,-0.55,-0.55,-0.55,-0.02,-0.0,-0.01,-0.84,-0.83,-0.84,1.0,2.0,28.0
72.0,75.0,73.5,1.0,-0.59,-0.58,-0.58,-0.05,-0.02,-0.04,-0.82,-0.81,-0.81,1.0,1.0,28.0
72.0,76.0,73.8,1.0,-0.59,-0.59,-0.59,0.36,0.37,0.36,-0.73,-0.72,-0.73,1.0,3.0,28.0
76.0,80.0,77.6,1.0,-0.56,-0.55,-0.55,0.26,0.28,0.27,-0.8,-0.78,-0.79,1.0,2.0,28.0
77.0,77.0,77.0,1.0,-0.55,-0.54,-0.55,0.23,0.25,0.24,-0.81,-0.8,-0.81,1.0,2.0,28.0
72.0,75.0,73.33,1.0,-0.58,-0.57,-0.58,-0.28,-0.27,-0.28,-0.78,-0.76,-0.77,1.0,2.0,28.0
75.0,79.0,77.0,1.0,-0.6,-0.59,-0.59,0.01,0.03,0.02,-0.82,-0.8,-0.81,1.0,2.0,28.0
74.0,79.0,76.33,1.0,-0.57,-0.56,-0.57,-0.04,-0.03,-0.03,-0.84,-0.82,-0.83,1.0,3.0,28.0
76.0,80.0,77.33,1.0,-0.58,-0.57,-0.58,0.05,0.07,0.06,-0.82,-0.81,-0.82,1.0,2.0,28.0
78.0,80.0,79.5,1.0,-0.58,-0.57,-0.57,0.06,0.07,0.06,-0.82,-0.82,-0.82,1.0,2.0,28.0
75.0,80.0,76.83,1.0,-0.62,-0.61,-0.61,0.28,0.3,0.29,-0.75,-0.73,-0.74,1.0,2.0,28.0
76.0,77.0,76.8,1.0,-0.51,-0.5,-0.5,0.06,0.08,0.07,-0.87,-0.85,-0.86,1.0,2.0,28.0
75.0,78.0,76.33,1.0,-0.38,-0.38,-0.38,0.09,0.11,0.1,-0.93,-0.92,-0.92,1.0,2.0,28.0
77.0,78.0,77.8,1.0,-0.4,-0.39,-0.39,-0.15,-0.13,-0.14,-0.91,-0.9,-0.91,0.0,0.0,28.0
75.0,79.0,77.0,1.0,-0.37,-0.36,-0.36,-0.07,-0.05,-0.06,-0.94,-0.92,-0.93,1.0,1.0,28.0
73.0,76.0,74.5,1.0,-0.38,-0.37,-0.38,-0.15,-0.13,-0.14,-0.92,-0.91,-0.92,1.0,2.0,28.0
74.0,77.0,75.67,1.0,-0.38,-0.37,-0.38,-0.17,-0.15,-0.16,-0.92,-0.91,-0.91,1.0,2.0,28.0
75.0,80.0,77.83,1.0,-0.39,-0.37,-0.38,-0.16,-0.13,-0.15,-0.92,-0.91,-0.91,1.0,2.0,28.0
77.0,78.0,77.4,1.0,-0.38,-0.37,-0.38,-0.16,-0.14,-0.15,-0.92,-0.91,-0.91,1.0,3.0,28.0
77.0,83.0,79.33,1.0,-0.41,-0.4,-0.41,-0.18,-0.15,-0.17,-0.9,-0.89,-0.9,1.0,3.0,28.0
75.0,79.0,76.17,1.0,-0.41,-0.4,-0.41,-0.38,-0.36,-0.37,-0.84,-0.83,-0.83,1.0,2.0,28.0
71.0,79.0,77.0,1.0,-0.41,-0.4,-0.4,-0.38,-0.36,-0.38,-0.84,-0.83,-0.83,1.0,3.0,28.0
77.0,77.0,77.0,1.0,-0.43,-0.42,-0.43,-0.42,-0.39,-0.41,-0.81,-0.8,-0.81,1.0,2.0,28.0
71.0,77.0,75.17,1.0,-0.41,-0.4,-0.4,0.29,0.31,0.3,-0.87,-0.86,-0.87,1.0,3.0,28.0
76.0,77.0,76.33,1.0,-0.41,-0.4,-0.4,0.29,0.31,0.3,-0.87,-0.86,-0.87,1.0,3.0,28.0
77.0,77.0,77.0,1.0,-0.41,-0.4,-0.4,0.29,0.31,0.3,-0.87,-0.86,-0.87,1.0,3.0,28.0
76.0,77.0,76.5,1.0,-0.41,-0.39,-0.4,0.25,0.34,0.3,-0.93,-0.86,-0.87,1.0,3.0,28.0
72.0,75.0,74.4,0.99,-0.42,-0.42,-0.42,-0.9,-0.89,-0.9,0.1,0.11,0.1,1.0,2.0,28.0
73.0,75.0,74.2,0.99,-0.42,-0.41,-0.41,-0.9,-0.9,-0.9,0.08,0.09,0.09,1.0,2.0,28.0
74.0,77.0,76.5,0.99,-0.42,-0.41,-0.41,-0.9,-0.9,-0.9,0.07,0.08,0.07,1.0,2.0,28.0
82.0,86.0,84.4,0.99,-0.42,-0.41,-0.41,-0.91,-0.9,-0.9,0.07,0.08,0.07,0.0,5.0,28.0
83.0,85.0,84.0,1.0,-0.43,-0.43,-0.43,-0.77,-0.76,-0.77,-0.48,-0.47,-0.47,0.0,5.0,28.0
81.0,85.0,82.8,1.0,-0.44,-0.4,-0.41,-0.77,-0.11,-0.53,-0.95,-0.47,-0.71,0.0,5.0,28.0
79.0,79.0,79.0,1.0,-0.39,-0.38,-0.39,-0.43,-0.41,-0.42,-0.83,-0.82,-0.82,0.0,5.0,28.0
76.0,83.0,78.6,1.0,-0.44,-0.38,-0.4,-0.66,-0.37,-0.43,-0.83,-0.57,-0.81,1.0,2.0,28.0
75.0,76.0,75.33,1.0,-0.49,-0.47,-0.48,-0.25,-0.22,-0.24,-0.85,-0.84,-0.85,1.0,2.0,28.0
73.0,75.0,74.5,1.0,-0.45,-0.43,-0.44,-0.25,-0.23,-0.24,-0.87,-0.86,-0.87,1.0,2.0,28.0
69.0,74.0,72.2,1.0,-0.44,-0.43,-0.44,-0.3,-0.28,-0.29,-0.86,-0.84,-0.85,1.0,2.0,28.0
71.0,73.0,71.8,1.0,-0.44,-0.41,-0.43,-0.54,-0.29,-0.31,-0.86,-0.78,-0.85,1.0,1.0,28.0
70.0,71.0,70.5,1.0,-0.45,-0.44,-0.45,-0.37,-0.35,-0.36,-0.83,-0.81,-0.82,1.0,2.0,28.0
71.0,75.0,72.86,1.0,-0.45,-0.44,-0.45,-0.37,-0.35,-0.36,-0.82,-0.81,-0.82,1.0,2.0,28.0
71.0,72.0,71.67,1.0,-0.5,-0.49,-0.5,0.07,0.09,0.08,-0.87,-0.86,-0.87,1.0,2.0,28.0
71.0,73.0,72.33,1.0,-0.5,-0.49,-0.49,0.06,0.08,0.07,-0.87,-0.86,-0.87,1.0,2.0,28.0
70.0,73.0,71.83,1.0,-0.5,-0.49,-0.49,0.05,0.07,0.07,-0.87,-0.86,-0.87,1.0,3.0,28.0
71.0,74.0,71.83,1.0,-0.5,-0.49,-0.49,0.05,0.07,0.06,-0.87,-0.86,-0.87,1.0,3.0,28.0
63.0,71.0,67.17,0.99,0.14,0.15,0.14,-0.8,-0.8,-0.8,0.57,0.58,0.57,1.0,2.0,28.0
68.0,70.0,69.0,0.99,0.07,0.08,0.07,-0.9,-0.89,-0.9,0.42,0.43,0.42,1.0,2.0,28.0
69.0,76.0,71.0,0.99,-0.13,0.08,0.02,-0.96,-0.37,-0.83,0.31,1.01,0.5,1.0,2.0,28.0
67.0,70.0,67.5,0.99,-0.02,-0.02,-0.02,-0.86,-0.86,-0.86,0.49,0.5,0.49,1.0,2.0,28.0
68.0,73.0,70.67,0.99,-0.02,-0.01,-0.01,-0.85,-0.84,-0.84,0.52,0.53,0.52,1.0,2.0,28.0
66.0,69.0,67.17,0.99,-0.03,-0.02,-0.02,-0.89,-0.88,-0.89,0.44,0.45,0.45,1.0,2.0,28.0
67.0,73.0,69.67,0.99,-0.02,-0.02,-0.02,-0.89,-0.89,-0.89,0.43,0.44,0.44,1.0,2.0,28.0
66.0,70.0,68.2,1.0,-0.23,0.16,0.03,-0.86,-0.13,-0.75,0.49,1.03,0.6,1.0,2.0,28.0
67.0,70.0,68.33,0.99,-0.07,-0.07,-0.07,-0.84,-0.83,-0.83,0.53,0.54,0.53,1.0,2.0,28.0
68.0,72.0,69.67,0.99,-0.07,-0.07,-0.07,-0.84,-0.83,-0.84,0.53,0.53,0.53,1.0,2.0,28.0
73.0,76.0,74.67,0.99,-0.1,-0.09,-0.1,-0.88,-0.88,-0.88,0.45,0.46,0.46,0.0,5.0,28.0
75.0,81.0,78.0,0.99,-0.1,-0.09,-0.1,-0.88,-0.87,-0.88,0.45,0.46,0.46,0.0,5.0,28.0
76.0,79.0,77.14,0.99,-0.11,-0.11,-0.11,-0.73,-0.73,-0.73,0.66,0.67,0.66,0.0,5.0,28.0
75.0,78.0,76.8,0.99,-0.11,-0.11,-0.11,-0.74,-0.73,-0.73,0.66,0.66,0.66,0.0,5.0,28.0
68.0,79.0,71.83,1.0,-0.46,-0.45,-0.45,0.39,0.4,0.39,-0.81,-0.8,-0.81,1.0,1.0,28.0
70.0,76.0,73.8,1.0,-0.46,-0.45,-0.45,0.4,0.41,0.41,-0.8,-0.79,-0.8,1.0,2.0,28.0
68.0,73.0,71.17,1.0,-0.46,-0.45,-0.46,0.41,0.42,0.41,-0.8,-0.79,-0.79,1.0,2.0,28.0
70.0,77.0,72.67,1.0,-0.46,-0.45,-0.46,0.42,0.43,0.42,-0.79,-0.78,-0.79,1.0,2.0,28.0
72.0,75.0,73.33,1.0,-0.46,-0.45,-0.46,0.42,0.44,0.43,-0.79,-0.78,-0.79,1.0,2.0,28.0
71.0,73.0,72.2,1.0,-0.46,-0.45,-0.46,0.42,0.44,0.43,-0.79,-0.77,-0.78,1.0,2.0,28.0
67.0,74.0,72.5,1.0,-0.59,-0.58,-0.59,0.24,0.25,0.25,-0.78,-0.77,-0.77,1.0,2.0,28.0
70.0,74.0,72.0,1.0,-0.59,-0.58,-0.59,0.24,0.26,0.25,-0.78,-0.77,-0.78,1.0,2.0,28.0
70.0,74.0,72.0,1.0,-0.59,-0.58,-0.58,0.24,0.26,0.25,-0.78,-0.77,-0.78,1.0,2.0,28.0
69.0,74.0,71.0,1.0,-0.59,-0.58,-0.58,0.25,0.26,0.25,-0.78,-0.77,-0.78,1.0,2.0,28.0
75.0,76.0,75.4,1.0,-0.59,-0.58,-0.58,0.24,0.26,0.25,-0.78,-0.77,-0.78,1.0,2.0,28.0
77.0,79.0,78.0,1.0,-0.59,-0.58,-0.58,0.24,0.26,0.25,-0.78,-0.77,-0.78,1.0,2.0,28.0
76.0,77.0,76.83,1.0,-0.59,-0.58,-0.58,0.24,0.26,0.25,-0.78,-0.77,-0.78,0.0,5.0,28.0
77.0,98.0,85.17,1.0,-0.53,-0.51,-0.52,-0.04,0.0,-0.01,-0.86,-0.85,-0.86,0.0,0.0,28.0
72.0,77.0,73.8,1.0,-0.52,-0.51,-0.51,0.01,0.03,0.02,-0.87,-0.85,-0.86,1.0,2.0,28.0
73.0,76.0,74.5,1.0,-0.54,-0.53,-0.53,0.07,0.08,0.07,-0.85,-0.84,-0.85,1.0,2.0,28.0
68.0,75.0,72.17,1.0,-0.51,-0.51,-0.51,0.1,0.12,0.11,-0.86,-0.85,-0.86,1.0,2.0,28.0
72.0,89.0,77.33,1.0,-0.65,-0.09,-0.34,-1.03,0.15,-0.67,-0.87,0.27,-0.52,0.0,0.0,28.0
77.0,80.0,79.17,1.0,-0.33,-0.32,-0.32,-0.78,-0.77,-0.77,-0.55,-0.54,-0.54,0.0,0.0,28.0
77.0,78.0,77.33,0.99,-0.17,-0.17,-0.17,-0.39,-0.38,-0.39,0.9,0.91,0.9,0.0,0.0,28.0
77.0,79.0,77.33,0.99,-0.17,-0.17,-0.17,-0.4,-0.39,-0.39,0.89,0.9,0.9,0.0,0.0,28.0
71.0,72.0,71.6,1.0,-0.4,-0.39,-0.39,0.09,0.11,0.1,-0.92,-0.91,-0.92,0.0,0.0,28.0
69.0,74.0,71.0,1.0,-0.39,-0.39,-0.39,0.09,0.1,0.1,-0.92,-0.91,-0.92,1.0,2.0,28.0
73.0,75.0,74.0,0.99,-0.29,-0.29,-0.29,-0.5,-0.49,-0.5,0.81,0.81,0.81,0.0,0.0,28.0
68.0,70.0,69.0,0.99,-0.3,-0.29,-0.29,-0.54,-0.5,-0.5,0.79,0.81,0.8,1.0,1.0,28.0
71.0,73.0,72.5,0.99,-0.16,-0.15,-0.15,-0.61,-0.6,-0.6,0.77,0.78,0.77,0.0,0.0,28.0
70.0,73.0,71.67,1.0,-0.47,-0.46,-0.47,0.04,0.05,0.05,-0.89,-0.88,-0.88,0.0,0.0,28.0
